Year,European Union,Germany,United States
2004,81.0,83.8,79.6
2005,82.75,85.5,82.54
2006,84.58,87.0,85.16
2007,86.55,89.0,87.4
2008,89.72,91.4,91.22
2009,90.6,91.6,90.46
2010,92.49,92.7,92.66
2011,95.36,95.0,96.2
2012,97.88,97.0,98.23
2013,99.35,98.6,99.46
2014,99.9,99.3,100.76
2015,100.0,100.0,100.0
2016,100.25,100.4,100.57
2017,101.96,102.1,102.34
2018,103.89,104.0,104.55
2019,105.42,105.5,105.99
2020,106.2,105.8,106.8
2021,109.28,109.2,112.5
2022,119.32,118.7,122.27
2023,126.91,125.9,125.94
2024,130.21,129.0,128.5
