Year,European Union,Germany,United States
2004,95.94,86.7,98.67
2005,95.65,86.8,98.66
2006,95.4,86.9,99.31
2007,95.33,87.5,98.64
2008,95.4,88.5,99.84
2009,96.22,90.1,100.46
2010,96.55,90.0,99.6
2011,96.71,91.0,99.26
2012,97.39,92.8,100.0
2013,98.32,94.5,100.19
2014,98.67,95.1,100.19
2015,100.0,100.0,100.0
2016,100.34,100.5,100.28
2017,101.51,102.5,100.92
2018,102.95,104.3,100.92
2019,103.86,104.4,101.7
2020,105.19,103.9,102.66
2021,106.87,105.5,104.78
2022,112.1,111.6,108.01
2023,118.93,118.2,112.93
2024,122.37,121.6,113.86
