Name,Release date (Japan),Manufacturer,Units sold,EU release date,Event,Event Date
Nintendo 64,"June 23, 1996",Nintendo (Japan),32.93 million,"March 1, 1997",Console Release,"March 1, 1997"
GameCube,"September 14, 2001",Nintendo (Japan),21.74 million,"May 3, 2002",Console Release,"May 3, 2002"
Wii,"November 19, 2006",Nintendo (Japan),101.63 million,"December 8, 2006",Console Release,"December 8, 2006"
Wii U,"November 18, 2012",Nintendo (Japan),13.56 million,"November 30, 2012",Console Release,"November 30, 2012"
Nintendo Switch,"March 3, 2017",Nintendo (Japan),129.53 million,"March 3, 2017",Console Release,"March 3, 2017"
Xbox,"November 15, 2001",Microsoft (U.S.),24 million,"March 14, 2002",Console Release,"March 14, 2002"
Xbox 360,"November 22, 2005",Microsoft (U.S.),85.8 million,"December 2, 2005",Console Release,"December 2, 2005"
Xbox One,"November 22, 2013",Microsoft (U.S.),41 million,"November 22, 2013",Console Release,"November 22, 2013"
Xbox Series X/S,"November 10, 2020",Microsoft (U.S.),21 million,"November 10, 2020",Console Release,"November 10, 2020"
PlayStation,"December 3, 1994",Sony (Japan),102.49 million,"September 29, 1995",Console Release,"September 29, 1995"
PlayStation 2,"March 4, 2000",Sony (Japan),155 million,"November 24, 2000",Console Release,"November 24, 2000"
PlayStation 3,"November 11, 2006",Sony (Japan),86.9 million,"March 23, 2007",Console Release,"March 23, 2007"
PlayStation 4,"November 15, 2013",Sony (Japan),115.9 million,"November 29, 2013",Console Release,"November 29, 2013"
PlayStation 5,"November 12, 2020",Sony (Japan),65.6 million,"November 19, 2020",Console Release,"November 19, 2020"
