Game Name,ITAD Game ID,Date,Price (€),Original Price (€),Discount%,Currency,Shop Name,Shop ID,ITAD Release Date,ITAD Publishers,ITAD Developers,ITAD Tags,ITAD Steam Rating,ITAD Metacritic Rating,ITAD Players Recent,ITAD Players Peak
 Knights of the Crusades,01961b76-5d78-7248-9028-5e2c188e51b9,2025-07-15 22:33:15+02:00,18.49,18.49,0,EUR,Steam,61,2025-05-05,"indie.io, Indie. io, Reverie World Studios","Reverie World Studios Inc, Reverie World Studios","Sandbox, Grand Strategy, RTS, City Builder, Strategy",80.0,,7.0,120.0
 Knights of the Crusades,01961b76-5d78-7248-9028-5e2c188e51b9,2025-07-18 19:18:53+02:00,14.79,18.49,20,EUR,Steam,61,2025-05-05,"indie.io, Indie. io, Reverie World Studios","Reverie World Studios Inc, Reverie World Studios","Sandbox, Grand Strategy, RTS, City Builder, Strategy",80.0,,7.0,120.0
 Knights of the Crusades,01961b76-5d78-7248-9028-5e2c188e51b9,2025-07-27 19:18:52+02:00,18.49,18.49,0,EUR,Steam,61,2025-05-05,"indie.io, Indie. io, Reverie World Studios","Reverie World Studios Inc, Reverie World Studios","Sandbox, Grand Strategy, RTS, City Builder, Strategy",80.0,,7.0,120.0
 Knights of the Crusades,01961b76-5d78-7248-9028-5e2c188e51b9,2025-09-05 18:03:30+02:00,14.79,18.49,20,EUR,Steam,61,2025-05-05,"indie.io, Indie. io, Reverie World Studios","Reverie World Studios Inc, Reverie World Studios","Sandbox, Grand Strategy, RTS, City Builder, Strategy",80.0,,7.0,120.0
 Knights of the Crusades,01961b76-5d78-7248-9028-5e2c188e51b9,2025-09-19 18:03:30+02:00,18.49,18.49,0,EUR,Steam,61,2025-05-05,"indie.io, Indie. io, Reverie World Studios","Reverie World Studios Inc, Reverie World Studios","Sandbox, Grand Strategy, RTS, City Builder, Strategy",80.0,,7.0,120.0
 Knights of the Crusades,01961b76-5d78-7248-9028-5e2c188e51b9,2025-09-29 22:35:28+02:00,14.79,18.49,20,EUR,Steam,61,2025-05-05,"indie.io, Indie. io, Reverie World Studios","Reverie World Studios Inc, Reverie World Studios","Sandbox, Grand Strategy, RTS, City Builder, Strategy",80.0,,7.0,120.0
 Knights of the Crusades,01961b76-5d78-7248-9028-5e2c188e51b9,2025-10-06 20:32:26+02:00,18.49,18.49,0,EUR,Steam,61,2025-05-05,"indie.io, Indie. io, Reverie World Studios","Reverie World Studios Inc, Reverie World Studios","Sandbox, Grand Strategy, RTS, City Builder, Strategy",80.0,,7.0,120.0
7 Days to Die,018d937f-2a29-7310-9c92-389377742acf,2025-07-15 22:24:04+02:00,43.99,43.99,0,EUR,Steam,61,2013-12-13,"The Fun Pimps Entertainment LLC, The Fun Pimps Entertainment LLC.","The Fun Pimps Entertainment LLC, The Fun Pimps","Survival, Zombies, Multiplayer, Open World, Open World Survival Craft",87.0,,22569.0,125419.0
7 Days to Die,018d937f-2a29-7310-9c92-389377742acf,2025-08-25 19:19:15+02:00,26.39,43.99,40,EUR,Steam,61,2013-12-13,"The Fun Pimps Entertainment LLC, The Fun Pimps Entertainment LLC.","The Fun Pimps Entertainment LLC, The Fun Pimps","Survival, Zombies, Multiplayer, Open World, Open World Survival Craft",87.0,,22569.0,125419.0
7 Days to Die,018d937f-2a29-7310-9c92-389377742acf,2025-09-08 19:16:32+02:00,43.99,43.99,0,EUR,Steam,61,2013-12-13,"The Fun Pimps Entertainment LLC, The Fun Pimps Entertainment LLC.","The Fun Pimps Entertainment LLC, The Fun Pimps","Survival, Zombies, Multiplayer, Open World, Open World Survival Craft",87.0,,22569.0,125419.0
7 Days to Die,018d937f-2a29-7310-9c92-389377742acf,2025-09-29 22:18:15+02:00,26.39,43.99,40,EUR,Steam,61,2013-12-13,"The Fun Pimps Entertainment LLC, The Fun Pimps Entertainment LLC.","The Fun Pimps Entertainment LLC, The Fun Pimps","Survival, Zombies, Multiplayer, Open World, Open World Survival Craft",87.0,,22569.0,125419.0
7 Days to Die,018d937f-2a29-7310-9c92-389377742acf,2025-10-06 19:18:57+02:00,43.99,43.99,0,EUR,Steam,61,2013-12-13,"The Fun Pimps Entertainment LLC, The Fun Pimps Entertainment LLC.","The Fun Pimps Entertainment LLC, The Fun Pimps","Survival, Zombies, Multiplayer, Open World, Open World Survival Craft",87.0,,22569.0,125419.0
9 Kings,018de04c-7ffa-7196-bde0-08380149d24d,2025-07-15 22:25:27+02:00,9.74,14.99,35,EUR,Steam,61,2025-05-23,"Hooded Horse, INSTINCT3, Sad Socket",Sad Socket,"Strategy, Roguelike, RPG, Fantasy, Roguelike Deckbuilder",92.0,,3152.0,13744.0
9 Kings,018de04c-7ffa-7196-bde0-08380149d24d,2025-07-24 19:20:29+02:00,14.99,14.99,0,EUR,Steam,61,2025-05-23,"Hooded Horse, INSTINCT3, Sad Socket",Sad Socket,"Strategy, Roguelike, RPG, Fantasy, Roguelike Deckbuilder",92.0,,3152.0,13744.0
9 Kings,018de04c-7ffa-7196-bde0-08380149d24d,2025-07-27 11:33:32+02:00,19.99,19.99,0,EUR,Steam,61,2025-05-23,"Hooded Horse, INSTINCT3, Sad Socket",Sad Socket,"Strategy, Roguelike, RPG, Fantasy, Roguelike Deckbuilder",92.0,,3152.0,13744.0
9 Kings,018de04c-7ffa-7196-bde0-08380149d24d,2025-08-26 19:18:08+02:00,9.99,19.99,50,EUR,Steam,61,2025-05-23,"Hooded Horse, INSTINCT3, Sad Socket",Sad Socket,"Strategy, Roguelike, RPG, Fantasy, Roguelike Deckbuilder",92.0,,3152.0,13744.0
